date,close
1972-08-31,111.0
1972-09-30,109.4
1972-10-31,109.6
1972-11-30,115.1
1972-12-31,117.5
1973-01-31,118.4
1973-02-28,114.2
1973-03-31,112.4
1973-04-30,110.3
1973-05-31,107.2
1973-06-30,104.8
1973-07-31,105.8
1973-08-31,103.8
1973-09-30,105.6
1973-10-31,109.8
1973-11-30,102.0
1973-12-31,94.78
1974-01-31,96.11
1974-02-28,93.45
1974-03-31,97.44
1974-04-30,92.46
1974-05-31,89.67
1974-06-30,89.79
1974-07-31,79.31
1974-08-31,76.03
1974-09-30,68.12
1974-10-31,69.44
1974-11-30,71.74
1974-12-31,67.07
1975-01-31,72.56
1975-02-28,80.1
1975-03-31,83.78
1975-04-30,84.72
1975-05-31,90.1
1975-06-30,92.4
1975-07-31,92.49
